Lieu de prêt,Emplacement,"Nb prêt
02/11/18","Nb prêt
03/11/18","Nb prêt
05/11/18","Nb prêt
06/11/18","Nb prêt
07/11/18","Nb prêt
08/11/18","Nb prêt
09/11/18","Nb prêt
10/11/18","Nb prêt
12/11/18","Nb prêt
13/11/18","Nb prêt
14/11/18","Nb prêt
15/11/18","Nb prêt
16/11/18","Nb prêt
17/11/18","Nb prêt
19/11/18","Nb prêt
20/11/18","Nb prêt
21/11/18","Nb prêt
22/11/18","Nb prêt
23/11/18","Nb prêt
24/11/18","Nb prêt
26/11/18","Nb prêt
27/11/18","Nb prêt
28/11/18","Nb prêt
29/11/18","Nb prêt
30/11/18"
                         ,GEOGRAPHIE         ,0,0,0,3,0,0,0,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
                         ,INFORMATIQUE       ,1,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,1,1,3,0,2,3,0,4,4,0,0,1,0,0,3,0,0,4,1,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,32,0,0,15,34,16,13,34,0,10,36,10,26,46,0,8,33,9,6,21,0,13,46,9,14
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,5,0,0,6,6,2,11,14,0,11,19,0,3,13,0,1,17,3,3,15,0,6,16,3,9
                         ,LANGUES            ,8,0,0,10,3,6,2,5,0,7,7,5,5,5,0,1,26,6,0,3,0,13,3,0,17
                         ,LOISIRS CREATIFS   ,15,0,0,1,8,3,2,2,0,3,1,4,5,9,0,0,3,2,4,7,0,5,5,0,2
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,7,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,3,0,0,0,0,0,3,2,0,3,0,0,1,0,1,1,1,0,2,3,0,4
                         ,PRESSE             ,30,0,0,6,11,7,33,23,0,13,11,0,13,11,0,9,5,5,7,39,0,4,28,0,8
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,9,0,0,4,2,2,4,9,0,4,8,0,9,3,0,0,1,2,0,8,0,2,1,2,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,49,0,0,59,25,35,45,41,2,38,27,36,16,37,0,30,47,30,8,40,0,26,31,14,13
                         ,ROMANS JEUNESSE    ,36,0,0,43,35,14,24,40,2,41,30,24,32,29,0,10,20,3,4,33,0,28,43,22,5
                         ,SCIENCES           ,6,0,0,0,13,2,2,5,0,5,11,0,6,3,0,4,10,3,2,5,0,3,4,0,3
                         ,SOCIETE            ,2,0,0,5,1,0,0,11,0,10,7,5,1,1,0,18,4,9,1,4,0,8,1,5,5
                         ,SPORTS ET LOISIRS  ,1,0,0,0,0,0,1,1,0,3,3,0,0,4,0,1,2,0,2,3,0,0,3,0,0
                         ,VIE PRATIQUE       ,7,0,0,15,8,11,2,20,0,14,22,6,10,22,0,8,21,10,4,12,0,18,6,4,4
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
